team,pos,pld,w,d,l,gf,ga,gd,pts
Galatasaray (C),1,36,30,5,1,91,31,60.0,95.0
Fenerbahçe,2,36,26,6,4,90,39,51.0,84.0
Samsunspor,3,36,19,7,10,55,41,14.0,64.0
Beşiktaş,4,36,17,11,8,59,36,23.0,62.0
Başakşehir,5,36,16,6,14,60,56,4.0,54.0
Eyüpspor,6,36,15,8,13,52,47,5.0,53.0
Trabzonspor,7,36,13,12,11,58,45,13.0,51.0
Göztepe,8,36,13,11,12,59,50,9.0,50.0
Rizespor,9,36,15,4,17,52,58,,49.0
Kasımpaşa,10,36,11,14,11,62,63,,47.0
Konyaspor,11,36,13,7,16,45,50,,46.0
Gaziantep,12,36,12,9,15,45,50,,45.0
Alanyaspor,13,36,12,9,15,43,50,,45.0
Kayserispor,14,36,11,12,13,45,57,,45.0
Antalyaspor,15,36,12,8,16,37,62,,44.0
Bodrum (R),16,36,9,10,17,26,43,,37.0
Sivasspor (R),17,36,9,8,19,44,60,,35.0
Hatayspor (R),18,36,6,8,22,47,74,,26.0
Adana Demirspor (R),19,36,3,5,28,34,92,,
